story,n_subjects,subjects
Rebeca,19,"sub-004, sub-014, sub-015, sub-019, sub-026, sub-029, sub-031, sub-032, sub-037, sub-038, sub-047, sub-059, sub-062, sub-063, sub-072, sub-092, sub-099, sub-102, sub-113"
Bienvenido Bob,16,"sub-020, sub-023, sub-025, sub-029, sub-032, sub-049, sub-050, sub-051, sub-059, sub-061, sub-069, sub-072, sub-084, sub-092, sub-099, sub-113"
Carta abierta,14,"sub-014, sub-015, sub-019, sub-037, sub-038, sub-045, sub-049, sub-059, sub-061, sub-069, sub-084, sub-092, sub-102, sub-110"
El negro de París,13,"sub-004, sub-020, sub-025, sub-031, sub-033, sub-040, sub-047, sub-050, sub-057, sub-062, sub-074, sub-104, sub-113"
El origen de las especies,13,"sub-004, sub-014, sub-015, sub-023, sub-037, sub-043, sub-045, sub-057, sub-059, sub-061, sub-099, sub-108, sub-110"
Axolotl,12,"sub-015, sub-023, sub-038, sub-043, sub-045, sub-057, sub-061, sub-062, sub-063, sub-072, sub-092, sub-099"
El loco cansino,11,"sub-020, sub-025, sub-026, sub-033, sub-040, sub-047, sub-050, sub-074, sub-104, sub-108, sub-113"
Sombras sobre vidrio esmerilado 1,9,"sub-019, sub-029, sub-032, sub-043, sub-049, sub-051, sub-069, sub-084, sub-102"
Sombras sobre vidrio esmerilado 2,9,"sub-019, sub-029, sub-032, sub-043, sub-049, sub-051, sub-069, sub-084, sub-102"
Carta a una señorita en París,8,"sub-020, sub-031, sub-033, sub-040, sub-063, sub-104, sub-108, sub-110"
