item,subject_1,subject_2,measure,correlation
El espejo,sub-079,sub-068,FFD,0.37251732999747755
El espejo,sub-028,sub-067,FFD,0.2733308621613589
El espejo,sub-028,sub-054,FFD,0.2851003107450619
El espejo,sub-028,sub-078,FFD,0.26242622706419616
El espejo,sub-028,sub-046,FFD,0.2893537347145425
El espejo,sub-028,sub-097,FFD,0.34127333555443756
El espejo,sub-028,sub-079,FFD,0.3126902410360821
El espejo,sub-028,sub-028,FFD,1.0
El espejo,sub-028,sub-089,FFD,0.3361345384933933
El espejo,sub-028,sub-109,FFD,0.35367313732204236
El espejo,sub-028,sub-070,FFD,0.15086475597302554
El espejo,sub-028,sub-111,FFD,0.1945048439607446
El espejo,sub-028,sub-073,FFD,0.20168453039716772
El espejo,sub-028,sub-001,FFD,0.33717850308669306
El espejo,sub-028,sub-095,FFD,0.35539875588015823
El espejo,sub-028,sub-012,FFD,0.13258252453725802
El espejo,sub-028,sub-052,FFD,0.30171664499310136
El espejo,sub-028,sub-094,FFD,0.28827383227928144
El espejo,sub-028,sub-088,FFD,0.19343448301337873
El espejo,sub-028,sub-044,FFD,0.3491641620171029
El espejo,sub-028,sub-009,FFD,0.1656260039214725
El espejo,sub-028,sub-041,FFD,0.33728849724037924
El espejo,sub-028,sub-024,FFD,0.13459745175998808
El espejo,sub-028,sub-016,FFD,0.2357444399762895
El espejo,sub-028,sub-112,FFD,0.35365888858279787
El espejo,sub-028,sub-058,FFD,0.32900406199423454
El espejo,sub-028,sub-018,FFD,0.24762522902233122
El espejo,sub-028,sub-048,FFD,0.2592628713649714
El espejo,sub-028,sub-087,FFD,0.2543036304327017
El espejo,sub-028,sub-091,FFD,0.35713651102050803
El espejo,sub-028,sub-083,FFD,0.3471897176671231
El espejo,sub-028,sub-065,FFD,0.3029221627227835
El espejo,sub-028,sub-077,FFD,0.17153985662092672
El espejo,sub-028,sub-039,FFD,0.21645998727167784
El espejo,sub-028,sub-053,FFD,0.16615548687929727
El espejo,sub-028,sub-075,FFD,0.25724359498730953
El espejo,sub-028,sub-060,FFD,0.3926107388010497
El espejo,sub-028,sub-103,FFD,0.3219682898379108
El espejo,sub-028,sub-105,FFD,0.23788185942243428
El espejo,sub-028,sub-064,FFD,0.2752862972703382
El espejo,sub-028,sub-010,FFD,0.10847843683974401
El espejo,sub-028,sub-034,FFD,0.34278161218243663
El espejo,sub-028,sub-002,FFD,0.26848768470573425
El espejo,sub-028,sub-085,FFD,0.2715030298773473
El espejo,sub-028,sub-021,FFD,0.19857017302006516
El espejo,sub-028,sub-096,FFD,0.3221347882417828
El espejo,sub-028,sub-027,FFD,0.2922283692698489
El espejo,sub-028,sub-006,FFD,0.3511199773148025
El espejo,sub-028,sub-066,FFD,0.33850559246456235
El espejo,sub-028,sub-101,FFD,0.26909647806313763
El espejo,sub-028,sub-042,FFD,0.2989192954374698
El espejo,sub-028,sub-003,FFD,0.3518802909220061
El espejo,sub-028,sub-107,FFD,0.2922430674383001
El espejo,sub-028,sub-098,FFD,0.30972554505794003
El espejo,sub-028,sub-086,FFD,0.09570636238246909
El espejo,sub-028,sub-013,FFD,0.23931496540759162
El espejo,sub-028,sub-068,FFD,0.30488166813662354
El espejo,sub-089,sub-067,FFD,0.2709809166466527
El espejo,sub-089,sub-054,FFD,0.22135221984675335
El espejo,sub-089,sub-078,FFD,0.337481864222286
El espejo,sub-089,sub-046,FFD,0.3659136281294092
El espejo,sub-089,sub-097,FFD,0.4280976861469739
El espejo,sub-089,sub-079,FFD,0.3278327301244739
El espejo,sub-089,sub-028,FFD,0.33613453849339336
El espejo,sub-089,sub-089,FFD,1.0
El espejo,sub-089,sub-109,FFD,0.46597331188597657
El espejo,sub-089,sub-070,FFD,0.13869673070176097
El espejo,sub-089,sub-111,FFD,0.3427812729209654
El espejo,sub-089,sub-073,FFD,0.28428429108052977
El espejo,sub-089,sub-001,FFD,0.41840163752302745
El espejo,sub-089,sub-095,FFD,0.38711607635763984
El espejo,sub-089,sub-012,FFD,0.09737947926123572
El espejo,sub-089,sub-052,FFD,0.2502566172385738
El espejo,sub-089,sub-094,FFD,0.23355655976645326
El espejo,sub-089,sub-088,FFD,0.11588529902830551
El espejo,sub-089,sub-044,FFD,0.3728237782998427
El espejo,sub-089,sub-009,FFD,0.3726937629650742
El espejo,sub-089,sub-041,FFD,0.31708244095201804
El espejo,sub-089,sub-024,FFD,0.11233121347109408
El espejo,sub-089,sub-016,FFD,0.13044415343582874
El espejo,sub-089,sub-112,FFD,0.44037160401576675
El espejo,sub-089,sub-058,FFD,0.36360126288758093
El espejo,sub-089,sub-018,FFD,0.2968209763060289
El espejo,sub-089,sub-048,FFD,0.2318737781108654
El espejo,sub-089,sub-087,FFD,0.3616516743477565
El espejo,sub-089,sub-091,FFD,0.34669497883529665
El espejo,sub-089,sub-083,FFD,0.35957755136122516
El espejo,sub-089,sub-065,FFD,0.3407294245648594
El espejo,sub-089,sub-077,FFD,0.15371309381555662
El espejo,sub-089,sub-039,FFD,0.30092408003736343
El espejo,sub-089,sub-053,FFD,0.15737178137142055
El espejo,sub-089,sub-075,FFD,0.2015869336653297
El espejo,sub-089,sub-060,FFD,0.3155902909528919
El espejo,sub-089,sub-103,FFD,0.3728405787894151
El espejo,sub-089,sub-105,FFD,0.164726087951877
El espejo,sub-089,sub-064,FFD,0.24804951938826747
El espejo,sub-089,sub-010,FFD,0.010991568409179623
El espejo,sub-089,sub-034,FFD,0.25085918250569605
El espejo,sub-089,sub-002,FFD,0.35740392786975433
El espejo,sub-089,sub-085,FFD,0.3708757557301242
El espejo,sub-089,sub-021,FFD,0.20766259637583875
El espejo,sub-089,sub-096,FFD,0.35842121252257414
El espejo,sub-089,sub-027,FFD,0.2796909235213283
El espejo,sub-089,sub-006,FFD,0.35393219083532007
El espejo,sub-089,sub-066,FFD,0.2744454179136987
El espejo,sub-089,sub-101,FFD,0.20529619321245612
El espejo,sub-089,sub-042,FFD,0.3978735836413718
El espejo,sub-089,sub-003,FFD,0.3787141098200564
El espejo,sub-089,sub-107,FFD,0.2987039331393669
El espejo,sub-089,sub-098,FFD,0.32408231426181594
El espejo,sub-089,sub-086,FFD,0.1619631248307225
El espejo,sub-089,sub-013,FFD,0.22297914529778382
El espejo,sub-089,sub-068,FFD,0.35063107473761324
El espejo,sub-109,sub-067,FFD,0.3190028455636268
El espejo,sub-109,sub-054,FFD,0.24239260093070758
El espejo,sub-109,sub-078,FFD,0.33076240424013
El espejo,sub-109,sub-046,FFD,0.36954215383927774
El espejo,sub-109,sub-097,FFD,0.4526640862591127
El espejo,sub-109,sub-079,FFD,0.46824671040337057
El espejo,sub-109,sub-028,FFD,0.35367313732204236
El espejo,sub-109,sub-089,FFD,0.4659733118859765
El espejo,sub-109,sub-109,FFD,0.9999999999999999
El espejo,sub-109,sub-070,FFD,0.2147585394376186
El espejo,sub-109,sub-111,FFD,0.33520422871644723
El espejo,sub-109,sub-073,FFD,0.2649198571151536
El espejo,sub-109,sub-001,FFD,0.48278784022964166
El espejo,sub-109,sub-095,FFD,0.4645219322681802
El espejo,sub-109,sub-012,FFD,0.16888593037137106
El espejo,sub-109,sub-052,FFD,0.33820766479458164
El espejo,sub-109,sub-094,FFD,0.31151091765541117
El espejo,sub-109,sub-088,FFD,0.2129436257176754
El espejo,sub-109,sub-044,FFD,0.5074196129479923
El espejo,sub-109,sub-009,FFD,0.32647650217090607
El espejo,sub-109,sub-041,FFD,0.4188258831630373
El espejo,sub-109,sub-024,FFD,0.11213622954945104
El espejo,sub-109,sub-016,FFD,0.23034836471040696
