subject_1,subject_2,measure,correlation
sub-097,sub-021,FFD,0.1965588866978846
sub-097,sub-096,FFD,0.3443904840865786
sub-097,sub-027,FFD,0.31466428241259176
sub-097,sub-006,FFD,0.3367820701794655
sub-097,sub-066,FFD,0.3538935191366354
sub-097,sub-101,FFD,0.22745085220654815
sub-097,sub-042,FFD,0.41107352858739404
sub-097,sub-003,FFD,0.3397999918183038
sub-097,sub-107,FFD,0.2878446814433228
sub-097,sub-098,FFD,0.3179646661809911
sub-097,sub-086,FFD,0.1021995576012397
sub-097,sub-013,FFD,0.27534936912840824
sub-097,sub-068,FFD,0.3547399589761618
sub-079,sub-028,FFD,0.3126902410360822
sub-079,sub-089,FFD,0.3278327301244739
sub-079,sub-109,FFD,0.4682467104033706
sub-079,sub-070,FFD,0.09629073961357226
sub-079,sub-111,FFD,0.27637861490637694
sub-079,sub-073,FFD,0.263225563968639
sub-079,sub-001,FFD,0.3699305513566453
sub-079,sub-095,FFD,0.43894701292436733
sub-079,sub-012,FFD,0.17519125498119703
sub-079,sub-052,FFD,0.2772208888913451
sub-079,sub-094,FFD,0.3022618804271649
sub-079,sub-088,FFD,0.19353306614065804
sub-079,sub-044,FFD,0.38997069779195
sub-079,sub-009,FFD,0.3072384010148298
sub-079,sub-041,FFD,0.36316304167073094
sub-079,sub-024,FFD,0.15441582072699747
sub-079,sub-016,FFD,0.22270796060443504
sub-079,sub-112,FFD,0.32192479468304985
sub-079,sub-058,FFD,0.39691177479648965
sub-079,sub-018,FFD,0.21589371402719912
sub-079,sub-048,FFD,0.2234509934390498
sub-079,sub-087,FFD,0.28734724168791564
sub-079,sub-091,FFD,0.3748175590926501
sub-079,sub-083,FFD,0.43481583725265543
sub-079,sub-065,FFD,0.3524902144798871
sub-079,sub-077,FFD,0.2992479171639676
sub-079,sub-039,FFD,0.28682359161112414
sub-079,sub-053,FFD,0.160288265537876
sub-079,sub-075,FFD,0.2671777140207622
sub-079,sub-060,FFD,0.3444267390975556
sub-079,sub-103,FFD,0.3372094131613418
sub-079,sub-105,FFD,0.1913842877604952
sub-079,sub-064,FFD,0.24051172071344556
sub-079,sub-010,FFD,0.04959771387874258
sub-079,sub-034,FFD,0.2867902510115436
sub-079,sub-002,FFD,0.32104543714134093
sub-079,sub-085,FFD,0.306498430015958
sub-079,sub-021,FFD,0.2779492854352855
sub-079,sub-096,FFD,0.427065113951286
sub-079,sub-027,FFD,0.38991452937595444
sub-079,sub-006,FFD,0.3359631466960205
sub-079,sub-066,FFD,0.30768308532577965
sub-079,sub-101,FFD,0.24366332304348037
sub-079,sub-042,FFD,0.41409194874591043
sub-079,sub-003,FFD,0.43560416946394914
sub-079,sub-107,FFD,0.29053659643087343
sub-079,sub-098,FFD,0.2864603455962867
sub-079,sub-086,FFD,0.13429098362308678
sub-079,sub-013,FFD,0.262157939202382
sub-079,sub-068,FFD,0.37251732999747755
sub-028,sub-089,FFD,0.3361345384933933
sub-028,sub-109,FFD,0.35367313732204236
sub-028,sub-070,FFD,0.15086475597302554
sub-028,sub-111,FFD,0.1945048439607446
sub-028,sub-073,FFD,0.20168453039716772
sub-028,sub-001,FFD,0.33717850308669306
sub-028,sub-095,FFD,0.35539875588015823
sub-028,sub-012,FFD,0.13258252453725802
sub-028,sub-052,FFD,0.30171664499310136
sub-028,sub-094,FFD,0.28827383227928144
sub-028,sub-088,FFD,0.19343448301337873
sub-028,sub-044,FFD,0.3491641620171029
sub-028,sub-009,FFD,0.1656260039214725
sub-028,sub-041,FFD,0.33728849724037924
sub-028,sub-024,FFD,0.13459745175998808
sub-028,sub-016,FFD,0.2357444399762895
sub-028,sub-112,FFD,0.35365888858279787
sub-028,sub-058,FFD,0.32900406199423454
sub-028,sub-018,FFD,0.24762522902233122
sub-028,sub-048,FFD,0.2592628713649714
sub-028,sub-087,FFD,0.2543036304327017
sub-028,sub-091,FFD,0.35713651102050803
sub-028,sub-083,FFD,0.3471897176671231
sub-028,sub-065,FFD,0.3029221627227835
sub-028,sub-077,FFD,0.17153985662092672
sub-028,sub-039,FFD,0.21645998727167784
sub-028,sub-053,FFD,0.16615548687929727
sub-028,sub-075,FFD,0.25724359498730953
sub-028,sub-060,FFD,0.3926107388010497
sub-028,sub-103,FFD,0.3219682898379108
sub-028,sub-105,FFD,0.23788185942243428
sub-028,sub-064,FFD,0.2752862972703382
sub-028,sub-010,FFD,0.10847843683974401
sub-028,sub-034,FFD,0.34278161218243663
sub-028,sub-002,FFD,0.26848768470573425
sub-028,sub-085,FFD,0.2715030298773473
sub-028,sub-021,FFD,0.19857017302006516
sub-028,sub-096,FFD,0.3221347882417828
sub-028,sub-027,FFD,0.2922283692698489
sub-028,sub-006,FFD,0.3511199773148025
sub-028,sub-066,FFD,0.33850559246456235
sub-028,sub-101,FFD,0.26909647806313763
sub-028,sub-042,FFD,0.2989192954374698
sub-028,sub-003,FFD,0.3518802909220061
sub-028,sub-107,FFD,0.2922430674383001
sub-028,sub-098,FFD,0.30972554505794003
sub-028,sub-086,FFD,0.09570636238246909
sub-028,sub-013,FFD,0.23931496540759162
sub-028,sub-068,FFD,0.30488166813662354
sub-089,sub-109,FFD,0.46597331188597657
sub-089,sub-070,FFD,0.13869673070176097
sub-089,sub-111,FFD,0.3427812729209654
sub-089,sub-073,FFD,0.28428429108052977
sub-089,sub-001,FFD,0.41840163752302745
sub-089,sub-095,FFD,0.38711607635763984
sub-089,sub-012,FFD,0.09737947926123572
sub-089,sub-052,FFD,0.2502566172385738
sub-089,sub-094,FFD,0.23355655976645326
sub-089,sub-088,FFD,0.11588529902830551
sub-089,sub-044,FFD,0.3728237782998427
sub-089,sub-009,FFD,0.3726937629650742
sub-089,sub-041,FFD,0.31708244095201804
sub-089,sub-024,FFD,0.11233121347109408
sub-089,sub-016,FFD,0.13044415343582874
sub-089,sub-112,FFD,0.44037160401576675
sub-089,sub-058,FFD,0.36360126288758093
sub-089,sub-018,FFD,0.2968209763060289
sub-089,sub-048,FFD,0.2318737781108654
sub-089,sub-087,FFD,0.3616516743477565
sub-089,sub-091,FFD,0.34669497883529665
sub-089,sub-083,FFD,0.35957755136122516
sub-089,sub-065,FFD,0.3407294245648594
sub-089,sub-077,FFD,0.15371309381555662
sub-089,sub-039,FFD,0.30092408003736343
sub-089,sub-053,FFD,0.15737178137142055
sub-089,sub-075,FFD,0.2015869336653297
sub-089,sub-060,FFD,0.3155902909528919
sub-089,sub-103,FFD,0.3728405787894151
sub-089,sub-105,FFD,0.164726087951877
sub-089,sub-064,FFD,0.24804951938826747
sub-089,sub-010,FFD,0.010991568409179623
sub-089,sub-034,FFD,0.25085918250569605
sub-089,sub-002,FFD,0.35740392786975433
sub-089,sub-085,FFD,0.3708757557301242
sub-089,sub-021,FFD,0.20766259637583875
sub-089,sub-096,FFD,0.35842121252257414
sub-089,sub-027,FFD,0.2796909235213283
sub-089,sub-006,FFD,0.35393219083532007
sub-089,sub-066,FFD,0.2744454179136987
sub-089,sub-101,FFD,0.20529619321245612
sub-089,sub-042,FFD,0.3978735836413718
sub-089,sub-003,FFD,0.3787141098200564
sub-089,sub-107,FFD,0.2987039331393669
sub-089,sub-098,FFD,0.32408231426181594
sub-089,sub-086,FFD,0.1619631248307225
sub-089,sub-013,FFD,0.22297914529778382
sub-089,sub-068,FFD,0.35063107473761324
sub-109,sub-070,FFD,0.2147585394376186
sub-109,sub-111,FFD,0.33520422871644723
sub-109,sub-073,FFD,0.2649198571151536
sub-109,sub-001,FFD,0.48278784022964166
sub-109,sub-095,FFD,0.4645219322681802
sub-109,sub-012,FFD,0.16888593037137106
sub-109,sub-052,FFD,0.33820766479458164
sub-109,sub-094,FFD,0.31151091765541117
sub-109,sub-088,FFD,0.2129436257176754
sub-109,sub-044,FFD,0.5074196129479923
sub-109,sub-009,FFD,0.32647650217090607
sub-109,sub-041,FFD,0.4188258831630373
sub-109,sub-024,FFD,0.11213622954945104
sub-109,sub-016,FFD,0.23034836471040696
sub-109,sub-112,FFD,0.47816944846895326
sub-109,sub-058,FFD,0.46529110879200447
sub-109,sub-018,FFD,0.3119409345687797
sub-109,sub-048,FFD,0.32886366694626146
sub-109,sub-087,FFD,0.3851261840847882
sub-109,sub-091,FFD,0.4403178642966648
sub-109,sub-083,FFD,0.4705011229725709
sub-109,sub-065,FFD,0.4593740909528224
sub-109,sub-077,FFD,0.2578263256964418
sub-109,sub-039,FFD,0.36831924040538233
sub-109,sub-053,FFD,0.1996434940871248
sub-109,sub-075,FFD,0.29122287962743615
sub-109,sub-060,FFD,0.3848892408931488
sub-109,sub-103,FFD,0.3916627405356111
sub-109,sub-105,FFD,0.29525495841256705
sub-109,sub-064,FFD,0.2900988788970143
sub-109,sub-010,FFD,0.10487876777279465
sub-109,sub-034,FFD,0.36806531317259467
sub-109,sub-002,FFD,0.4018570279179485
sub-109,sub-085,FFD,0.36379398299332927
sub-109,sub-021,FFD,0.28046175742513807
sub-109,sub-096,FFD,0.4941930153792857
sub-109,sub-027,FFD,0.33640974005762847
